datetime,open,high,low,close,volume
2026-05-01 09:30:00,92.81,92.81,91.9076,92.4,103770.0
2026-05-01 09:35:00,92.32,92.535,92.033,92.37,37258.0
2026-05-01 09:40:00,92.33,92.765,92.05,92.76,96029.0
2026-05-01 09:45:00,92.76,92.805,92.2,92.4,104960.0
2026-05-01 09:50:00,92.41,92.46,92.19,92.26,84086.0
2026-05-01 09:55:00,92.29,92.81,92.27,92.81,47342.0
2026-05-01 10:00:00,92.85,92.935,92.51,92.935,58977.0
2026-05-01 10:05:00,92.91,92.919,92.63,92.67,35117.0
2026-05-01 10:10:00,92.66,92.803,92.52,92.78,41334.0
2026-05-01 10:15:00,92.76,92.965,92.72,92.96,54669.0
2026-05-01 10:20:00,92.98,93.0,92.785,92.94,40416.0
2026-05-01 10:25:00,92.945,93.0,92.8,92.83,63347.0
2026-05-01 10:30:00,92.825,92.95,92.69,92.745,96420.0
2026-05-01 10:35:00,92.73,93.025,92.72,92.99,78228.0
2026-05-01 10:40:00,93.0,93.08,92.825,92.99,48500.0
2026-05-01 10:45:00,93.0,93.08,92.77,92.82,51446.0
2026-05-01 10:50:00,92.83,93.17,92.77,93.13,44013.0
2026-05-01 10:55:00,93.16,93.21,92.995,92.995,19338.0
2026-05-01 11:00:00,92.96,93.15,92.86,93.12,27813.0
2026-05-01 11:05:00,93.15,93.2186,93.09,93.09,27606.0
2026-05-01 11:10:00,93.145,93.21,93.04,93.17,21820.0
2026-05-01 11:15:00,93.19,93.275,93.14,93.25,22729.0
2026-05-01 11:20:00,93.235,93.375,93.18,93.3201,23679.0
2026-05-01 11:25:00,93.35,93.44,93.31,93.42,24314.0
2026-05-01 11:30:00,93.42,93.44,93.27,93.27,18527.0
2026-05-01 11:35:00,93.285,93.49,93.27,93.46,26145.0
2026-05-01 11:40:00,93.49,93.555,93.44,93.5,21330.0
2026-05-01 11:45:00,93.49,93.575,93.385,93.46,22102.0
2026-05-01 11:50:00,93.49,93.54,93.15,93.52,58538.0
2026-05-01 11:55:00,93.51,93.58,93.48,93.575,16993.0
2026-05-01 12:00:00,93.575,93.61,93.39,93.39,32215.0
2026-05-01 12:05:00,93.38,93.455,93.335,93.4,26825.0
2026-05-01 12:10:00,93.41,93.41,93.28,93.38,27880.0
2026-05-01 12:15:00,93.375,93.645,93.375,93.6,32272.0
2026-05-01 12:20:00,93.64,93.64,93.435,93.62,80683.0
2026-05-01 12:25:00,93.62,93.69,93.45,93.65,56222.0
2026-05-01 12:30:00,93.625,93.83,93.58,93.81,89414.0
2026-05-01 12:35:00,93.81,93.8586,93.57,93.59,39082.0
