datetime,open,high,low,close,volume
2026-05-01 09:30:00,511.78,518.01,510.21,513.82,1203438.0
2026-05-01 09:35:00,513.67,524.28,513.59,524.1,1150656.0
2026-05-01 09:40:00,523.715,530.12,523.6,529.62,1456333.0
2026-05-01 09:45:00,529.68,532.6399,525.17,532.6399,1186555.0
2026-05-01 09:50:00,532.535,537.33,531.41,536.63,1709457.0
2026-05-01 09:55:00,536.63,541.638,536.08,541.638,1474180.0
2026-05-01 10:00:00,541.63,545.07,539.6216,543.77,1221365.0
2026-05-01 10:05:00,543.665,545.0,541.59,544.765,1276906.0
2026-05-01 10:10:00,544.765,545.91,541.0,542.99,955334.0
2026-05-01 10:15:00,542.95,545.83,539.38,539.75,1056771.0
2026-05-01 10:20:00,539.8999,545.63,539.52,542.3,932926.0
2026-05-01 10:25:00,542.2601,544.64,541.29,542.06,548100.0
2026-05-01 10:30:00,542.084,542.27,536.22,536.35,875445.0
2026-05-01 10:35:00,536.43,539.05,533.3,537.58,917956.0
2026-05-01 10:40:00,537.58,540.51,535.9,536.0,585300.0
2026-05-01 10:45:00,536.0,537.1,532.8,532.875,517237.0
2026-05-01 10:50:00,532.88,533.27,528.58,530.36,694443.0
2026-05-01 10:55:00,530.4799,531.94,527.01,527.61,596941.0
2026-05-01 11:00:00,527.62,528.5,524.75,527.23,603371.0
2026-05-01 11:05:00,527.4,528.98,525.2,528.375,506711.0
2026-05-01 11:10:00,528.375,531.86,527.0101,530.0213,507162.0
2026-05-01 11:15:00,530.2,533.63,529.77,533.55,465396.0
2026-05-01 11:20:00,533.55,534.32,530.32,531.587,382484.0
2026-05-01 11:25:00,531.402,532.4217,530.05,530.164,218857.0
2026-05-01 11:30:00,530.29,532.5,529.4,532.095,296395.0
2026-05-01 11:35:00,532.095,533.5999,531.54,532.84,254743.0
2026-05-01 11:40:00,532.92,533.93,530.19,530.35,360157.0
2026-05-01 11:45:00,530.3,530.39,528.4,529.395,246491.0
2026-05-01 11:50:00,529.395,530.89,526.6,530.8899,273602.0
2026-05-01 11:55:00,530.89,532.3,530.1001,531.99,241289.0
2026-05-01 12:00:00,531.86,533.35,531.2831,531.8,251927.0
2026-05-01 12:05:00,531.855,532.76,531.53,532.135,171031.0
2026-05-01 12:10:00,532.08,533.52,531.18,531.1901,267928.0
2026-05-01 12:15:00,531.295,533.27,531.19,532.1,225440.0
2026-05-01 12:20:00,532.01,532.4099,530.46,531.15,182111.0
2026-05-01 12:25:00,531.215,531.54,529.22,529.55,184177.0
2026-05-01 12:30:00,529.54,530.97,529.2208,530.0175,199423.0
2026-05-01 12:35:00,529.94,533.25,529.88,532.73,247950.0
2026-05-01 12:40:00,533.12,534.27,532.0,533.535,265227.0
2026-05-01 12:45:00,533.535,534.2999,532.5,533.92,225644.0
2026-05-01 12:50:00,533.87,534.7299,532.02,532.92,234101.0
2026-05-01 12:55:00,532.72,533.29,531.0,531.0,167987.0
2026-05-01 13:00:00,531.0,531.9999,530.4501,531.35,187941.0
2026-05-01 13:05:00,531.44,531.5786,530.14,530.96,119919.0
2026-05-01 13:10:00,530.83,531.41,530.1,530.51,135596.0
2026-05-01 13:15:00,530.51,531.43,530.1,531.295,128339.0
2026-05-01 13:20:00,531.34,531.5,530.3,530.755,120409.0
2026-05-01 13:25:00,530.8,531.09,529.5,530.005,197228.0
2026-05-01 13:30:00,530.04,530.11,529.0,529.875,222719.0
2026-05-01 13:35:00,529.76,530.25,528.4201,528.63,178061.0
2026-05-01 13:40:00,528.71,531.3299,528.71,531.275,208347.0
2026-05-01 13:45:00,531.275,535.17,531.2428,535.15,366624.0
2026-05-01 13:50:00,535.12,535.26,533.585,534.89,303853.0
2026-05-01 13:55:00,534.87,536.6299,534.86,535.78,924175.0
2026-05-01 14:00:00,535.85,536.0,534.1,534.9399,283397.0
2026-05-01 14:05:00,534.845,539.0,534.26,538.77,380483.0
2026-05-01 14:10:00,538.765,539.19,537.82,537.94,350555.0
2026-05-01 14:15:00,538.0,540.93,537.69,540.34,416972.0
2026-05-01 14:20:00,540.325,540.97,539.06,540.37,239888.0
2026-05-01 14:25:00,540.37,541.04,539.8801,540.89,253232.0
2026-05-01 14:30:00,540.67,543.3999,540.11,541.79,402930.0
2026-05-01 14:35:00,541.79,542.34,539.0801,539.1751,355084.0
2026-05-01 14:40:00,539.2468,539.7,537.91,539.08,307429.0
2026-05-01 14:45:00,539.02,539.35,535.82,537.485,339778.0
2026-05-01 14:50:00,537.485,539.34,536.94,538.935,269629.0
2026-05-01 14:55:00,538.965,540.17,538.73,540.125,233059.0
2026-05-01 15:00:00,540.125,540.4699,538.0,538.775,298413.0
2026-05-01 15:05:00,538.775,539.75,538.3,539.21,195837.0
2026-05-01 15:10:00,539.3,540.0,539.0401,539.19,267210.0
2026-05-01 15:15:00,539.25,540.0,538.32,538.96,275909.0
2026-05-01 15:20:00,539.04,541.38,538.35,541.265,407006.0
2026-05-01 15:25:00,541.265,542.02,539.9401,541.38,502458.0
2026-05-01 15:30:00,541.29,541.78,539.5,541.6999,265303.0
2026-05-01 15:35:00,541.53,541.89,540.73,540.94,237384.0
2026-05-01 15:40:00,540.94,541.875,540.16,541.59,277720.0
2026-05-01 15:45:00,541.62,542.5,540.16,541.025,327684.0
2026-05-01 15:50:00,540.97,543.57,540.12,542.05,979166.0
2026-05-01 15:55:00,541.89,542.36,540.7101,542.36,982330.0
2026-05-04 09:30:00,560.6,571.47,557.76,568.57,3129041.0
2026-05-04 09:35:00,568.5,578.0,566.78,578.0,2001258.0
2026-05-04 09:40:00,578.0,580.81,575.2,579.5,1681183.0
2026-05-04 09:45:00,579.51,586.275,578.03,583.0155,1599545.0
2026-05-04 09:50:00,583.05,589.0,581.1,588.39,1502874.0
2026-05-04 09:55:00,588.22,589.0,585.1,588.7202,1048557.0
2026-05-04 10:00:00,588.77,592.799,587.01,587.64,1352322.0
2026-05-04 10:05:00,587.59,590.0,585.73,586.8,823238.0
2026-05-04 10:10:00,586.4886,590.51,586.11,587.965,753886.0
2026-05-04 10:15:00,588.0,590.86,586.21,587.365,758107.0
2026-05-04 10:20:00,587.365,588.1,583.72,585.1799,861174.0
2026-05-04 10:25:00,584.86,586.4799,581.2,581.64,714494.0
2026-05-04 10:30:00,581.5107,583.99,580.64,580.6645,776264.0
2026-05-04 10:35:00,580.66,582.58,579.08,581.585,660151.0
2026-05-04 10:40:00,581.5779,585.79,581.0001,585.72,652851.0
2026-05-04 10:45:00,585.8,586.63,583.98,584.5551,489131.0
2026-05-04 10:50:00,584.5,585.0,583.21,584.625,289936.0
2026-05-04 10:55:00,584.68,587.39,573.8028,584.3,576730.0
2026-05-04 11:00:00,584.285,585.5,581.83,584.8,428005.0
2026-05-04 11:05:00,584.52,586.339,582.88,585.7867,465633.0
2026-05-04 11:10:00,585.71,585.99,583.09,583.93,353035.0
2026-05-04 11:15:00,583.885,584.51,579.83,580.14,451841.0
2026-05-04 11:20:00,579.95,580.21,576.1001,577.46,805701.0
2026-05-04 11:25:00,577.53,582.979,577.25,581.0,515307.0
2026-05-04 11:30:00,581.0,581.87,578.8417,581.32,383955.0
2026-05-04 11:35:00,581.32,582.77,579.07,580.445,354032.0
2026-05-04 11:40:00,580.465,583.74,577.7,583.49,553253.0
2026-05-04 11:45:00,583.41,583.95,581.51,582.225,389556.0
2026-05-04 11:50:00,582.57,589.965,580.16,583.48,285175.0
2026-05-04 11:55:00,583.2828,584.0,580.5,581.23,291659.0
2026-05-04 12:00:00,581.23,581.67,580.0,580.52,218871.0
2026-05-04 12:05:00,580.62,580.96,576.5,577.19,457500.0
2026-05-04 12:10:00,577.01,577.61,575.4601,576.175,421932.0
2026-05-04 12:15:00,575.92,578.7711,573.0001,577.88,624201.0
2026-05-04 12:20:00,577.915,580.005,577.35,579.67,365404.0
2026-05-04 12:25:00,579.77,580.4299,578.28,579.03,237713.0
2026-05-04 12:30:00,579.105,579.49,577.31,578.5095,237040.0
2026-05-04 12:35:00,578.565,578.6299,575.72,576.2647,276397.0
2026-05-04 12:40:00,576.135,578.56,575.67,577.515,205639.0
2026-05-04 12:45:00,577.515,579.48,577.505,579.24,176427.0
2026-05-04 12:50:00,579.24,579.28,577.02,578.4999,231431.0
2026-05-04 12:55:00,578.425,579.78,578.11,579.135,192841.0
2026-05-04 13:00:00,579.16,581.65,579.0,581.49,337627.0
2026-05-04 13:05:00,581.39,582.1899,580.3101,580.685,294317.0
2026-05-04 13:10:00,580.66,580.91,579.09,579.69,216903.0
2026-05-04 13:15:00,579.64,581.88,578.82,581.4031,251229.0
2026-05-04 13:20:00,581.36,582.34,581.03,581.43,429828.0
2026-05-04 13:25:00,581.39,581.58,580.3001,581.06,188261.0
2026-05-04 13:30:00,581.06,581.42,578.37,578.487,236796.0
2026-05-04 13:35:00,578.61,578.85,577.62,578.705,208972.0
2026-05-04 13:40:00,578.6108,578.8099,577.02,577.2,775232.0
2026-05-04 13:45:00,577.2,577.42,575.21,575.91,426029.0
2026-05-04 13:50:00,575.84,577.75,575.81,576.94,232135.0
2026-05-04 13:55:00,576.91,578.2,576.8301,578.0001,170481.0
2026-05-04 14:00:00,578.1,578.74,576.511,576.75,202392.0
2026-05-04 14:05:00,576.5201,576.75,573.5701,573.75,951020.0
2026-05-04 14:10:00,573.8,574.57,573.2,573.59,257879.0
2026-05-04 14:15:00,573.5,573.9299,571.55,571.9299,362753.0
2026-05-04 14:20:00,571.81,573.61,571.71,573.33,240308.0
2026-05-04 14:25:00,573.37,575.07,572.0,574.865,263899.0
2026-05-04 14:30:00,574.99,575.4799,574.52,575.195,231618.0
2026-05-04 14:35:00,575.18,575.8795,574.605,575.32,209403.0
2026-05-04 14:40:00,575.41,576.22,573.15,573.2801,243209.0
2026-05-04 14:45:00,573.4076,575.84,572.5,575.7,256635.0
2026-05-04 14:50:00,575.78,576.78,575.0,576.32,289954.0
2026-05-04 14:55:00,576.12,577.78,576.04,577.335,691926.0
2026-05-04 15:00:00,577.5,578.1799,576.5901,578.08,221919.0
2026-05-04 15:05:00,578.1799,580.07,577.8885,578.51,352301.0
2026-05-04 15:10:00,578.645,579.6764,577.7901,577.81,258284.0
2026-05-04 15:15:00,578.0,579.1,577.8,578.1001,233561.0
2026-05-04 15:20:00,578.22,578.5699,576.55,577.76,261202.0
2026-05-04 15:25:00,577.76,578.92,577.1,578.645,245604.0
2026-05-04 15:30:00,578.61,580.22,578.26,579.79,309845.0
2026-05-04 15:35:00,579.8,579.8,577.0,577.015,255588.0
2026-05-04 15:40:00,577.06,578.69,576.77,578.47,238518.0
2026-05-04 15:45:00,578.4,579.44,577.5,579.26,263222.0
2026-05-04 15:50:00,579.26,580.44,577.8301,578.0623,577977.0
2026-05-04 15:55:00,578.29,578.32,576.0,576.36,1065579.0
2026-05-05 09:30:00,609.775,617.52,605.47,615.5984,3928673.0
2026-05-05 09:35:00,615.72,627.0,613.2,626.72,2298974.0
2026-05-05 09:40:00,626.56,631.2499,622.52,631.125,2091088.0
2026-05-05 09:45:00,631.25,634.7599,626.21,627.365,1940044.0
2026-05-05 09:50:00,627.31,631.88,626.62,628.34,1238381.0
2026-05-05 09:55:00,628.19,637.58,628.1,635.32,1557500.0
2026-05-05 10:00:00,635.29,638.48,631.54,635.0,1215582.0
2026-05-05 10:05:00,635.1199,637.91,633.0,635.2,907606.0
2026-05-05 10:10:00,635.1725,636.44,632.012,632.685,961558.0
2026-05-05 10:15:00,632.685,639.0,630.3,636.895,1266275.0
2026-05-05 10:20:00,636.895,646.76,636.03,645.89,1698285.0
2026-05-05 10:25:00,645.91,651.74,645.59,645.81,1692305.0
2026-05-05 10:30:00,645.75,647.35,642.69,643.88,1012446.0
2026-05-05 10:35:00,643.92,644.15,638.24,639.98,987480.0
2026-05-05 10:40:00,639.5386,640.49,634.5,634.91,1122267.0
2026-05-05 10:45:00,634.88,639.23,633.7,638.3514,921764.0
2026-05-05 10:50:00,638.37,640.9699,635.35,640.825,785615.0
2026-05-05 10:55:00,640.72,642.17,636.615,636.615,773081.0
2026-05-05 11:00:00,636.65,637.11,634.37,636.515,634480.0
2026-05-05 11:05:00,636.56,637.3,633.7665,634.435,650716.0
2026-05-05 11:10:00,634.54,637.5,632.87,637.12,568773.0
2026-05-05 11:15:00,637.13,639.2699,636.22,638.565,440338.0
2026-05-05 11:20:00,638.63,641.98,637.0125,640.91,616948.0
2026-05-05 11:25:00,640.995,640.995,636.75,637.43,421145.0
2026-05-05 11:30:00,637.15,638.298,611.2705,637.845,387242.0
2026-05-05 11:35:00,637.82,639.88,637.7,638.7,344067.0
2026-05-05 11:40:00,638.6,641.0,637.85,640.15,351306.0
2026-05-05 11:45:00,640.15,643.84,639.8101,642.69,616934.0
2026-05-05 11:50:00,642.8099,645.86,642.79,645.8,581051.0
2026-05-05 11:55:00,645.74,647.06,643.58,644.62,746638.0
