datetime,open,high,low,close,volume
2026-05-01 09:30:00,721.25,722.36,720.74,722.32,1558889.0
2026-05-01 09:35:00,722.34,722.61,722.08,722.11,732193.0
2026-05-01 09:40:00,722.12,722.62,722.0,722.52,773974.0
2026-05-01 09:45:00,722.49,722.54,721.94,722.18,459388.0
2026-05-01 09:50:00,722.21,722.91,721.87,722.56,610547.0
2026-05-01 09:55:00,722.6,724.24,722.6,724.175,1000529.0
2026-05-01 10:00:00,724.19,724.65,723.95,724.354,640430.0
2026-05-01 10:05:00,724.36,724.38,723.77,724.0523,475085.0
2026-05-01 10:10:00,724.06,724.66,723.93,724.45,456921.0
2026-05-01 10:15:00,724.45,724.65,724.18,724.46,664477.0
2026-05-01 10:20:00,724.48,724.87,724.48,724.585,421206.0
2026-05-01 10:25:00,724.585,724.6,724.18,724.2588,377365.0
2026-05-01 10:30:00,724.27,724.27,723.11,723.29,814906.0
2026-05-01 10:35:00,723.29,723.37,722.3,722.85,841861.0
2026-05-01 10:40:00,722.845,723.3,722.47,722.96,594049.0
2026-05-01 10:45:00,722.9101,723.39,722.835,723.16,314335.0
2026-05-01 10:50:00,723.14,723.29,722.6661,722.87,260323.0
2026-05-01 10:55:00,722.87,723.18,722.72,722.72,221114.0
2026-05-01 11:00:00,722.73,722.7786,722.04,722.33,481992.0
2026-05-01 11:05:00,722.37,722.66,722.16,722.62,286230.0
2026-05-01 11:10:00,722.61,723.015,722.36,722.995,288838.0
2026-05-01 11:15:00,723.0,723.18,722.79,722.995,190111.0
2026-05-01 11:20:00,723.0,723.37,723.0,723.28,191866.0
2026-05-01 11:25:00,723.29,723.38,722.99,723.29,277611.0
2026-05-01 11:30:00,723.295,723.51,723.17,723.26,314327.0
2026-05-01 11:35:00,723.2577,724.06,723.2,723.79,257387.0
2026-05-01 11:40:00,723.7701,724.05,723.7701,724.01,650570.0
2026-05-01 11:45:00,724.005,724.35,723.99,724.29,326341.0
2026-05-01 11:50:00,724.3,724.38,722.71,723.4801,1014536.0
2026-05-01 11:55:00,723.5,723.76,723.26,723.385,289374.0
2026-05-01 12:00:00,723.36,723.61,723.28,723.36,210190.0
2026-05-01 12:05:00,723.355,723.43,722.47,722.54,578429.0
2026-05-01 12:10:00,722.53,722.76,722.38,722.5,378023.0
2026-05-01 12:15:00,722.49,723.04,722.47,723.01,365959.0
2026-05-01 12:20:00,723.01,723.17,722.04,722.54,498512.0
2026-05-01 12:25:00,722.55,722.6,721.87,722.14,576391.0
2026-05-01 12:30:00,722.1201,722.26,721.63,722.03,444961.0
2026-05-01 12:35:00,722.01,722.34,721.81,722.27,269150.0
2026-05-01 12:40:00,722.23,722.32,721.69,721.69,238377.0
2026-05-01 12:45:00,721.68,721.91,721.49,721.69,286726.0
2026-05-01 12:50:00,721.695,722.18,721.5581,722.15,259494.0
2026-05-01 12:55:00,722.16,722.36,721.87,721.89,262554.0
2026-05-01 13:00:00,721.89,722.46,721.86,722.15,740917.0
2026-05-01 13:05:00,722.1599,722.38,722.11,722.21,345390.0
2026-05-01 13:10:00,722.1903,722.54,722.1903,722.5099,283400.0
2026-05-01 13:15:00,722.5,722.72,722.31,722.68,254290.0
2026-05-01 13:20:00,722.69,722.92,722.64,722.76,224526.0
