datetime,open,high,low,close,volume
2026-03-02 09:30:00,390.6,393.9699,388.25,393.72,3087162.0
2026-03-02 09:35:00,393.745,395.82,393.66,395.58,1529758.0
2026-03-02 09:40:00,395.52,396.8894,394.31,396.525,1255006.0
2026-03-02 09:45:00,396.5,398.3121,395.8001,398.0,1133120.0
2026-03-02 09:50:00,398.01,398.18,395.54,395.715,1147113.0
2026-03-02 09:55:00,395.735,396.68,395.42,395.97,754905.0
2026-03-02 10:00:00,395.95,396.98,395.1,396.21,856525.0
2026-03-02 10:05:00,396.23,396.6,395.04,395.8099,704503.0
2026-03-02 10:10:00,395.83,398.2499,395.64,397.68,848605.0
2026-03-02 10:15:00,397.7,398.79,397.0,398.57,829831.0
2026-03-02 10:20:00,398.57,399.2187,397.5201,398.1542,808954.0
2026-03-02 10:25:00,398.09,398.8799,390.1887,398.6541,659538.0
2026-03-02 10:30:00,398.665,399.27,397.72,399.1099,657036.0
2026-03-02 10:35:00,399.11,400.8,398.84,400.7318,888034.0
2026-03-02 10:40:00,400.7896,400.97,400.18,400.8,631102.0
2026-03-02 10:45:00,400.81,401.94,400.6,401.6,698435.0
2026-03-02 10:50:00,401.61,402.32,401.2,401.57,808879.0
2026-03-02 10:55:00,401.5999,402.65,400.93,402.0241,711205.0
2026-03-02 11:00:00,401.98,402.14,401.11,401.76,468559.0
2026-03-02 11:05:00,401.7701,403.59,401.6401,403.425,804694.0
2026-03-02 11:10:00,403.43,403.71,402.56,402.7,620391.0
2026-03-02 11:15:00,402.7151,403.09,401.85,401.94,564904.0
2026-03-02 11:20:00,401.91,402.39,401.6,401.65,618009.0
2026-03-02 11:25:00,401.68,401.72,400.06,400.17,664518.0
2026-03-02 11:30:00,400.21,400.82,399.74,400.5,742167.0
2026-03-02 11:35:00,400.5,402.26,400.29,402.21,688826.0
2026-03-02 11:40:00,402.21,403.79,402.16,403.565,847512.0
2026-03-02 11:45:00,403.585,404.45,403.5,403.838,738995.0
2026-03-02 11:50:00,403.8678,404.54,403.55,404.155,508922.0
2026-03-02 11:55:00,404.1799,404.3,403.07,403.125,518400.0
2026-03-02 12:00:00,403.14,403.74,402.7,403.6855,505619.0
2026-03-02 12:05:00,403.66,403.9,403.2,403.7936,505915.0
2026-03-02 12:10:00,403.79,403.84,402.82,403.31,426898.0
2026-03-02 12:15:00,403.33,403.9199,403.23,403.34,464599.0
2026-03-02 12:20:00,403.36,403.82,403.1101,403.335,320337.0
2026-03-02 12:25:00,403.31,403.32,402.4,402.5,442653.0
2026-03-02 12:30:00,402.47,403.19,401.92,401.95,467695.0
2026-03-02 12:35:00,401.955,402.61,401.0801,401.115,487545.0
2026-03-02 12:40:00,401.115,401.915,400.97,401.445,498969.0
2026-03-02 12:45:00,401.455,402.35,401.35,401.75,476721.0
2026-03-02 12:50:00,401.755,402.23,401.25,401.63,415709.0
2026-03-02 12:55:00,401.6,402.05,401.32,401.88,296316.0
2026-03-02 13:00:00,401.9,402.11,401.37,401.8199,315469.0
2026-03-02 13:05:00,401.84,401.92,401.08,401.09,296497.0
