datetime,open,high,low,close,volume
2026-03-02 09:30:00,158.3174,158.5708,154.6613,155.4114,2641148.0
2026-03-02 09:35:00,155.4114,155.4114,153.7472,153.926,1250427.0
2026-03-02 09:40:00,153.9045,155.3069,153.8466,154.6016,1013635.0
2026-03-02 09:45:00,154.5917,155.1282,153.7373,154.3384,889905.0
2026-03-02 09:50:00,154.2738,155.2474,154.1744,154.9047,789300.0
2026-03-02 09:55:00,154.86,154.9196,154.2117,154.5222,449130.0
2026-03-02 10:00:00,154.5023,154.9196,154.085,154.4924,432397.0
2026-03-02 10:05:00,154.4675,155.0189,154.4129,154.7805,419919.0
2026-03-02 10:10:00,154.7904,155.2226,154.6066,154.9699,307923.0
2026-03-02 10:15:00,155.0189,155.1381,153.9757,154.2638,454729.0
2026-03-02 10:20:00,154.244,154.3135,152.9723,153.171,492591.0
2026-03-02 10:25:00,153.1412,153.2405,152.5153,152.6146,373778.0
2026-03-02 10:30:00,152.6146,153.1461,152.4556,152.8232,520040.0
2026-03-02 10:35:00,152.8232,153.2802,152.5947,153.1114,333885.0
2026-03-02 10:40:00,153.1213,153.161,152.1179,152.4755,433291.0
2026-03-02 10:45:00,152.4854,153.1114,152.4755,153.0418,304125.0
2026-03-02 10:50:00,153.0418,153.3796,152.704,152.7984,328010.0
2026-03-02 10:55:00,152.8034,153.0518,152.704,152.9673,324830.0
2026-03-02 11:00:00,152.9425,153.161,152.6643,152.8978,306679.0
2026-03-02 11:05:00,152.8928,152.9196,152.3066,152.401,214255.0
2026-03-02 11:10:00,152.3861,153.1412,152.2669,152.8332,308693.0
2026-03-02 11:15:00,152.8332,152.853,152.4657,152.6941,294148.0
2026-03-02 11:20:00,152.714,153.8615,152.704,153.7273,298384.0
2026-03-02 11:25:00,153.7273,153.8664,153.428,153.428,230074.0
2026-03-02 11:30:00,153.4392,153.4591,152.9325,153.0617,325232.0
2026-03-02 11:35:00,153.0716,153.7572,153.0418,153.7472,209207.0
2026-03-02 11:40:00,153.7174,154.0304,153.628,153.9857,238210.0
2026-03-02 11:45:00,154.0175,154.1049,153.3448,153.7057,238553.0
2026-03-02 11:50:00,153.7075,153.926,153.5485,153.7572,196901.0
2026-03-02 11:55:00,153.7373,153.8366,153.4492,153.5485,157812.0
2026-03-02 12:00:00,153.5485,153.6578,153.2405,153.3895,186133.0
2026-03-02 12:05:00,153.3697,153.3796,152.714,152.8282,271129.0
2026-03-02 12:10:00,152.8282,152.853,152.3563,152.714,205708.0
2026-03-02 12:15:00,152.6941,152.704,152.1476,152.3116,237328.0
2026-03-02 12:20:00,152.3265,152.4556,152.0384,152.1079,178570.0
2026-03-02 12:25:00,152.098,152.6692,152.098,152.6642,147389.0
2026-03-02 12:30:00,152.6643,152.853,152.5153,152.7438,426778.0
2026-03-02 12:35:00,152.7239,152.8034,152.5153,152.5451,116291.0
2026-03-02 12:40:00,152.5451,152.8362,152.4954,152.7438,124328.0
2026-03-02 12:45:00,152.7338,153.0716,152.6345,152.9177,144130.0
2026-03-02 12:50:00,152.9127,153.0617,152.6444,152.6991,143586.0
2026-03-02 12:55:00,152.6991,153.0021,152.6991,152.8431,114220.0
2026-03-02 13:00:00,152.8381,153.0518,152.6494,153.012,128955.0
2026-03-02 13:05:00,153.0319,153.1213,152.8431,153.0915,107827.0
2026-03-02 13:10:00,153.0915,153.469,153.0915,153.4126,156883.0
2026-03-02 13:15:00,153.3995,153.469,152.4755,152.7885,311936.0
2026-03-02 13:20:00,152.8133,153.0915,152.7934,152.9772,124565.0
2026-03-02 13:25:00,152.9921,153.5088,152.9822,153.4293,108774.0
2026-03-02 13:30:00,153.4293,153.628,153.3399,153.4889,154805.0
2026-03-02 13:35:00,153.5088,153.623,153.2406,153.3498,110562.0
2026-03-02 13:40:00,153.3895,153.479,153.1015,153.1511,131764.0
2026-03-02 13:45:00,153.161,153.2455,152.9613,153.0368,185908.0
2026-03-02 13:50:00,153.0617,153.2505,152.9524,153.0368,163367.0
2026-03-02 13:55:00,153.012,153.1511,152.6841,152.7935,227104.0
2026-03-02 14:00:00,152.7934,152.8231,152.4457,152.7536,166775.0
2026-03-02 14:05:00,152.7537,152.8528,152.396,152.6643,320680.0
2026-03-02 14:10:00,152.6742,152.8232,152.4954,152.6345,152452.0
2026-03-02 14:15:00,152.637,153.0417,152.5848,153.012,99121.0
2026-03-02 14:20:00,153.012,153.4432,153.012,153.3421,132851.0
2026-03-02 14:25:00,153.3399,153.4293,153.2008,153.3299,125276.0
2026-03-02 14:30:00,153.3299,153.5386,153.3001,153.3846,167412.0
2026-03-02 14:35:00,153.3846,153.3945,153.1213,153.1511,149487.0
2026-03-02 14:40:00,153.1561,153.2207,152.9921,153.0219,121445.0
2026-03-02 14:45:00,153.0219,153.1511,152.8915,152.9027,109486.0
2026-03-02 14:50:00,152.9027,153.325,152.8729,153.2207,135517.0
2026-03-02 14:55:00,153.2356,153.2803,153.0617,153.1988,122959.0
2026-03-02 15:00:00,153.2057,153.2703,153.1014,153.1511,135910.0
2026-03-02 15:05:00,153.171,153.5286,153.012,153.5213,251481.0
2026-03-02 15:10:00,153.5187,153.8366,153.2505,153.2505,375296.0
2026-03-02 15:15:00,153.2405,153.4094,152.8829,153.3697,340465.0
2026-03-02 15:20:00,153.3697,153.7075,153.3697,153.4343,269775.0
2026-03-02 15:25:00,153.4492,153.5584,153.1072,153.1511,207266.0
2026-03-02 15:30:00,153.171,153.2803,152.9002,153.1511,234869.0
2026-03-02 15:35:00,153.1412,153.3495,153.0816,153.2207,209031.0
2026-03-02 15:40:00,153.2356,153.5137,153.1511,153.3796,303970.0
2026-03-02 15:45:00,153.3548,153.7174,153.2703,153.6975,381019.0
2026-03-02 15:50:00,153.7273,153.7373,152.8928,152.9524,1079916.0
2026-03-02 15:55:00,152.9524,153.4293,152.9325,153.1908,1382827.0
2026-03-03 09:30:00,154.4228,155.0378,152.8083,153.3399,1073544.0
2026-03-03 09:35:00,153.4492,153.6628,152.3364,153.017,736450.0
2026-03-03 09:40:00,153.0257,153.0257,150.5282,150.6772,694701.0
2026-03-03 09:45:00,150.6673,151.174,150.1805,150.5978,534847.0
2026-03-03 09:50:00,150.5381,151.6211,150.4388,150.7518,395738.0
2026-03-03 09:55:00,150.6921,150.7965,150.0215,150.4587,418418.0
2026-03-03 10:00:00,150.5183,150.9952,150.1606,150.5059,414667.0
2026-03-03 10:05:00,150.5381,150.9694,150.3692,150.866,354310.0
2026-03-03 10:10:00,150.9256,151.1144,150.1904,150.6574,453763.0
2026-03-03 10:15:00,150.6277,150.6772,149.7135,149.8725,400816.0
2026-03-03 10:20:00,149.8427,149.9122,149.4398,149.7731,305613.0
2026-03-03 10:25:00,149.788,150.5034,149.7533,150.3394,371471.0
2026-03-03 10:30:00,150.3494,150.7468,150.1209,150.4686,363775.0
2026-03-03 10:35:00,150.4587,151.2982,150.4587,151.2833,398780.0
2026-03-03 10:40:00,151.2734,151.323,150.8064,151.0349,369176.0
2026-03-03 10:45:00,151.025,151.2435,150.6772,150.9554,304727.0
2026-03-03 10:50:00,150.9554,151.3032,150.7219,151.2038,273490.0
2026-03-03 10:55:00,151.1839,151.2038,150.5481,151.0647,363057.0
2026-03-03 11:00:00,151.0647,151.5317,150.9073,151.328,350953.0
2026-03-03 11:05:00,151.3628,151.8893,151.3181,151.8496,254601.0
2026-03-03 11:10:00,151.8496,151.9788,151.4224,151.5615,280268.0
2026-03-03 11:15:00,151.4919,151.8794,151.4025,151.8049,217321.0
2026-03-03 11:20:00,151.7713,151.9966,151.5913,151.8049,321023.0
